"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"15/04/2022","27,200","28,300","28,600","27,200","471.51K","-3.55%"
"14/04/2022","28,200","28,200","29,400","27,700","436.91K","0.00%"
"13/04/2022","28,200","27,500","28,400","27,000","296.02K","4.06%"
"12/04/2022","27,100","28,400","29,100","26,700","539.65K","-4.58%"
"08/04/2022","28,400","30,000","30,700","28,000","770.40K","-4.70%"
"07/04/2022","29,800","31,000","31,600","29,800","708.50K","-4.49%"
"06/04/2022","31,200","32,100","32,100","30,900","724.63K","-3.41%"
"05/04/2022","32,300","32,700","33,000","31,900","581.72K","-1.22%"
"04/04/2022","32,700","31,400","33,500","31,000","1.47M","4.47%"
"01/04/2022","31,300","31,400","31,400","30,600","411.51K","-0.32%"
"31/03/2022","31,400","32,000","32,300","30,900","341.91K","-1.26%"
"30/03/2022","31,800","30,600","33,500","30,300","1.24M","3.92%"
"29/03/2022","30,600","30,000","30,900","29,700","769.67K","3.03%"
"28/03/2022","29,700","30,000","30,400","29,300","861.86K","-2.30%"
"25/03/2022","30,400","30,900","31,300","30,200","792.50K","-1.62%"
"24/03/2022","30,900","29,600","31,500","29,600","1.54M","4.39%"
"23/03/2022","29,600","28,200","29,900","28,100","1.66M","4.96%"
"22/03/2022","28,200","28,500","28,500","27,600","226.80K","0.00%"
"21/03/2022","28,200","28,500","28,700","28,000","229.70K","-0.35%"
"18/03/2022","28,300","28,300","28,500","28,000","230.62K","0.00%"
"17/03/2022","28,300","26,800","28,600","26,800","601.04K","5.20%"
"16/03/2022","26,900","26,400","26,900","26,200","92.70K","1.51%"
"15/03/2022","26,500","26,100","26,700","26,100","59.10K","0.76%"
"14/03/2022","26,300","26,900","26,900","26,300","195.40K","-2.23%"
"11/03/2022","26,900","26,900","27,000","26,700","184.30K","0.00%"
"10/03/2022","26,900","26,900","27,200","26,800","183.95K","-0.37%"
"09/03/2022","27,000","26,600","27,100","26,500","158.35K","0.00%"
"08/03/2022","27,000","27,200","27,300","26,800","174.30K","-0.74%"
"07/03/2022","27,200","27,700","27,700","27,100","250.30K","-1.81%"
"04/03/2022","27,700","27,900","28,000","27,300","201.00K","0.00%"
"03/03/2022","27,700","27,200","27,900","27,000","205.80K","2.59%"
"02/03/2022","27,000","26,700","27,900","26,600","161.80K","1.50%"
"01/03/2022","26,600","27,000","27,100","26,300","288.10K","-1.48%"
"28/02/2022","27,000","27,600","27,800","26,900","295.90K","-2.17%"
"25/02/2022","27,600","27,900","28,100","27,500","161.60K","1.10%"
"24/02/2022","27,300","28,100","28,600","26,900","343.23K","-2.85%"
"23/02/2022","28,100","27,600","28,600","27,500","217.55K","1.81%"
"22/02/2022","27,600","28,400","28,400","27,500","497.44K","-2.82%"
"21/02/2022","28,400","28,600","28,700","28,100","198.54K","-1.39%"
"18/02/2022","28,800","29,200","29,200","28,500","282.50K","-1.37%"
"17/02/2022","29,200","29,500","29,600","29,000","98.60K","-0.34%"
"16/02/2022","29,300","28,800","29,600","28,800","209.04K","1.74%"
"15/02/2022","28,800","28,700","29,100","28,200","225.10K","0.70%"
"14/02/2022","28,600","30,100","30,100","28,600","365.40K","-4.98%"
"11/02/2022","30,100","30,600","30,600","29,500","343.70K","-1.95%"
"10/02/2022","30,700","31,200","32,000","30,000","414.02K","-1.92%"
"09/02/2022","31,300","30,000","32,000","30,000","546.25K","4.33%"
"08/02/2022","30,000","28,800","30,400","28,600","631.80K","4.53%"
"07/02/2022","28,700","28,400","29,200","28,400","146.00K","2.87%"
"28/01/2022","27,900","28,100","28,700","27,700","136.30K","-2.45%"
"27/01/2022","28,600","28,000","28,600","27,300","206.43K","1.78%"
"26/01/2022","28,100","28,700","28,800","27,500","212.30K","-1.75%"
"25/01/2022","28,600","28,600","29,000","26,500","331.20K","-3.38%"
"24/01/2022","29,600","30,500","30,700","29,000","657.10K","-1.99%"
"21/01/2022","30,200","30,900","31,000","30,000","569.71K","0.00%"
"20/01/2022","30,200","29,100","31,200","28,400","990.92K","2.72%"
"19/01/2022","29,400","29,300","29,500","28,500","385.50K","-1.01%"
"18/01/2022","29,700","29,700","30,100","29,000","461.60K","0.00%"
"17/01/2022","29,700","29,200","30,800","29,200","779.24K","2.06%"
"14/01/2022","29,100","27,600","30,000","27,300","542.80K","5.05%"
"13/01/2022","27,700","29,000","29,000","27,000","341.21K","1.47%"
"12/01/2022","27,300","27,400","27,800","26,800","305.30K","-2.15%"
"11/01/2022","27,900","27,600","28,200","27,400","243.30K","0.72%"
"10/01/2022","27,700","28,500","28,900","27,700","372.71K","-2.12%"
"07/01/2022","28,300","28,300","28,800","27,800","310.07K","0.71%"
"06/01/2022","28,100","27,500","28,200","27,100","345.60K","2.18%"
"05/01/2022","27,500","27,000","28,000","26,500","329.51K","2.23%"
"04/01/2022","26,900","27,200","27,500","26,600","228.61K","-0.74%"
"31/12/2021","27,100","26,400","27,900","26,400","320.32K","2.65%"
"30/12/2021","26,400","25,700","26,400","25,500","197.30K","1.93%"
"29/12/2021","25,900","25,700","26,300","25,500","190.91K","1.17%"
"28/12/2021","25,600","26,000","26,300","25,500","128.32K","-1.54%"
"27/12/2021","26,000","25,700","26,600","25,300","149.71K","0.00%"
"24/12/2021","26,000","26,500","26,500","25,200","265.11K","0.00%"
"23/12/2021","26,000","26,700","27,200","25,600","289.80K","-2.62%"
"22/12/2021","26,700","26,200","27,500","26,200","288.30K","1.91%"
"21/12/2021","26,200","26,600","26,800","25,800","239.20K","-1.50%"
"20/12/2021","26,600","27,400","27,500","26,000","407.50K","-3.27%"
"17/12/2021","27,500","27,600","28,000","27,300","157.01K","-0.72%"
"16/12/2021","27,700","28,100","28,200","27,100","350.50K","-2.46%"
"15/12/2021","28,400","28,800","28,800","28,000","241.10K","-1.39%"
"14/12/2021","28,800","29,200","29,200","28,600","138.20K","-0.69%"
"13/12/2021","29,000","30,000","30,200","29,000","235.71K","-1.69%"
"10/12/2021","29,500","28,500","29,600","28,500","348.20K","3.51%"
"09/12/2021","28,500","28,200","28,700","28,000","121.90K","0.35%"
"08/12/2021","28,400","28,500","28,800","28,000","63.80K","-0.35%"
"07/12/2021","28,500","27,400","29,500","27,400","138.50K","3.64%"
"06/12/2021","27,500","29,600","29,600","27,100","136.01K","-5.50%"
"03/12/2021","29,100","30,500","30,700","29,000","144.05K","-3.00%"
"02/12/2021","30,000","29,000","31,500","28,800","303.24K","3.45%"
"01/12/2021","29,000","28,500","29,200","28,500","157.01K","1.40%"
"30/11/2021","28,600","29,800","29,800","28,600","170.10K","-1.04%"
"29/11/2021","28,900","28,400","28,900","28,000","167.20K","-1.03%"
"26/11/2021","29,200","29,900","29,900","29,000","303.60K","-2.01%"
"25/11/2021","29,800","30,000","30,400","29,500","193.10K","-0.67%"
"24/11/2021","30,000","31,000","31,000","29,100","221.21K","-0.33%"
"23/11/2021","30,100","28,600","30,800","26,200","158.51K","3.79%"
"22/11/2021","29,000","31,800","31,800","28,900","387.10K","-8.81%"
"19/11/2021","31,800","32,900","32,900","29,700","460.53K","-3.34%"
"18/11/2021","32,900","32,200","34,000","31,900","503.73K","2.17%"
"17/11/2021","32,200","33,000","33,800","31,900","703.26K","-2.72%"
"16/11/2021","33,100","34,900","34,900","32,800","576.24K","-5.16%"
"15/11/2021","34,900","34,700","35,000","33,800","637.34K","-1.97%"
"12/11/2021","35,600","36,700","36,700","34,600","245.74K","-2.73%"
"11/11/2021","36,600","36,000","37,500","34,000","495.29K","7.02%"
"10/11/2021","34,200","30,000","34,200","30,000","1.67M","14.77%"
"09/11/2021","29,800","30,300","30,400","29,200","344.10K","-1.32%"
"08/11/2021","30,200","30,000","31,000","30,000","398.45K","0.67%"
"05/11/2021","30,000","29,400","30,000","29,400","304.40K","2.39%"
"04/11/2021","29,300","30,000","30,000","28,900","453.52K","0.34%"
"03/11/2021","29,200","29,000","32,000","28,800","854.41K","0.69%"
"02/11/2021","29,000","30,000","30,000","28,800","806.70K","-3.33%"
"01/11/2021","30,000","29,500","31,200","29,400","857.83K","1.01%"
"29/10/2021","29,700","28,100","29,800","28,000","832.39K","7.22%"
"28/10/2021","27,700","26,400","28,100","26,200","710.41K","4.92%"
"27/10/2021","26,400","26,300","26,600","25,800","820.84K","-0.38%"
"26/10/2021","26,500","26,500","26,900","25,800","352.80K","-0.75%"
"25/10/2021","26,700","26,000","27,700","25,500","886.12K","6.80%"
"22/10/2021","25,000","22,500","25,500","22,400","1.87M","10.62%"
"21/10/2021","22,600","22,500","22,700","22,300","114.30K","0.00%"
"20/10/2021","22,600","22,600","22,900","22,300","213.63K","0.00%"
"19/10/2021","22,600","23,200","23,200","22,400","131.10K","-1.31%"
"18/10/2021","22,900","23,000","23,400","22,700","335.41K","0.44%"
"15/10/2021","22,800","22,400","22,900","22,000","555.50K","2.24%"
"14/10/2021","22,300","22,300","22,700","22,100","184.51K","-0.89%"
"13/10/2021","22,500","23,000","23,000","22,200","114.80K","0.45%"
"12/10/2021","22,400","23,000","23,000","22,200","176.71K","-1.75%"
"11/10/2021","22,800","23,400","23,400","22,600","167.71K","-0.87%"
"08/10/2021","23,000","22,200","23,300","22,000","269.95K","3.60%"
"07/10/2021","22,200","22,500","22,500","22,100","395.10K","-0.89%"
"06/10/2021","22,400","22,400","22,700","21,900","157.10K","0.00%"
"05/10/2021","22,400","21,900","22,700","21,800","306.60K","2.28%"
"04/10/2021","21,900","22,100","22,100","21,700","206.70K","-0.90%"
"01/10/2021","22,100","22,200","22,200","21,700","230.70K","-1.34%"
"30/09/2021","22,400","22,400","22,700","22,000","202.00K","0.00%"
"29/09/2021","22,400","22,100","22,800","22,000","151.50K","-1.32%"
"28/09/2021","22,700","22,200","22,700","21,700","408.20K","0.00%"
"27/09/2021","22,700","23,300","23,300","22,200","227.20K","-1.30%"
"24/09/2021","23,000","23,900","24,500","23,000","472.27K","-2.54%"
"23/09/2021","23,600","23,000","24,000","22,800","1.07M","3.51%"
"22/09/2021","22,800","21,700","23,000","21,700","422.82K","1.79%"
"21/09/2021","22,400","21,500","22,500","21,500","347.70K","-0.44%"
"20/09/2021","22,500","23,100","23,400","22,000","235.80K","-4.66%"
"17/09/2021","23,600","23,900","24,000","22,800","223.20K","0.43%"
"16/09/2021","23,500","23,700","24,000","23,000","204.03K","-0.84%"
"15/09/2021","23,700","24,900","24,900","23,000","344.40K","-3.27%"
"14/09/2021","24,500","24,800","25,000","24,000","468.80K","0.82%"
"13/09/2021","24,300","23,700","25,600","23,700","356.23K","3.40%"
"10/09/2021","23,500","22,900","23,900","22,900","360.40K","2.62%"
"09/09/2021","22,900","22,000","22,900","22,000","378.92K","4.57%"
"08/09/2021","21,900","21,700","21,900","21,500","213.30K","1.86%"
"07/09/2021","21,500","21,000","22,100","21,000","418.14K","1.90%"
"06/09/2021","21,100","21,400","21,400","20,600","218.61K","-1.40%"
"01/09/2021","21,400","21,200","21,800","21,000","141.70K","0.94%"
"31/08/2021","21,200","21,500","21,600","20,900","191.10K","-2.30%"
"30/08/2021","21,700","19,700","22,100","19,600","399.60K","10.71%"
"27/08/2021","19,600","19,100","19,700","19,100","109.00K","0.51%"
"26/08/2021","19,500","19,000","19,900","19,000","307.90K","2.63%"
"25/08/2021","19,000","17,800","19,000","17,800","154.10K","0.00%"
"24/08/2021","19,000","19,100","19,200","18,500","206.00K","-0.52%"
"23/08/2021","19,100","19,700","19,900","18,700","204.90K","-3.05%"
"20/08/2021","19,700","19,200","20,200","19,200","379.70K","2.60%"
"19/08/2021","19,200","19,300","19,600","18,900","272.75K","0.52%"
"18/08/2021","19,100","18,600","19,200","18,600","226.60K","2.14%"
"17/08/2021","18,700","18,600","18,900","18,400","333.40K","1.08%"
"16/08/2021","18,500","19,100","19,700","18,500","99.55K","-3.14%"
"13/08/2021","19,100","18,500","20,200","18,500","157.40K","3.24%"
"12/08/2021","18,500","17,600","18,500","17,500","417.50K","2.78%"
"11/08/2021","18,000","18,200","18,200","17,800","23.40K","0.00%"
"10/08/2021","18,000","18,100","18,800","17,900","91.04K","0.00%"
"09/08/2021","18,000","16,900","18,400","16,700","170.50K","7.78%"
"06/08/2021","16,700","16,700","17,100","16,700","2.40K","-2.34%"
"05/08/2021","17,100","17,200","17,200","17,100","0.40K","0.59%"
"04/08/2021","17,000","16,700","17,000","16,700","9.20K","1.19%"
"03/08/2021","16,800","16,500","17,000","16,500","8.40K","-0.59%"
"02/08/2021","16,900","16,700","16,900","16,500","27.91K","0.60%"
"30/07/2021","16,800","16,800","16,800","16,600","10.00K","0.60%"
"29/07/2021","16,700","16,800","16,900","16,700","12.20K","-0.60%"
"28/07/2021","16,800","16,600","16,900","16,600","12.00K","0.60%"
"27/07/2021","16,700","16,500","16,700","16,400","6.10K","0.00%"
"26/07/2021","16,700","16,800","16,800","16,600","4.20K","-1.76%"
"23/07/2021","17,000","17,000","17,000","17,000","0.10K","0.59%"
"22/07/2021","16,900","16,900","17,000","16,500","14.70K","0.00%"
"21/07/2021","16,900","16,900","16,900","16,500","12.80K","0.00%"
"20/07/2021","16,900","16,500","17,000","16,500","3.80K","-0.59%"
"19/07/2021","17,000","16,900","17,000","16,500","9.90K","0.59%"
"16/07/2021","16,900","16,900","16,900","16,800","1.30K","0.60%"
"15/07/2021","16,800","16,700","17,000","16,700","2.90K","-0.59%"
"14/07/2021","16,900","16,700","16,900","16,700","0.70K","-0.59%"
"13/07/2021","17,000","17,000","17,000","16,800","6.90K","2.41%"
"12/07/2021","16,600","17,200","17,500","16,600","42.60K","-3.49%"
"09/07/2021","17,200","17,500","17,500","17,200","6.60K","-2.82%"
"08/07/2021","17,700","17,600","17,800","17,300","21.70K","1.14%"
"07/07/2021","17,500","17,500","17,500","17,400","11.00K","0.00%"
"06/07/2021","17,500","17,500","17,900","17,400","20.50K","-2.78%"
"05/07/2021","18,000","18,300","18,300","17,400","27.80K","0.00%"
"02/07/2021","18,000","17,700","18,200","17,500","32.20K","1.69%"
"01/07/2021","17,700","17,700","17,900","17,700","21.30K","-1.67%"
"30/06/2021","18,000","17,800","18,600","17,500","26.70K","1.12%"
"29/06/2021","17,800","17,800","17,800","17,500","43.61K","0.00%"
"28/06/2021","17,800","17,800","17,800","17,800","8.03K","0.00%"
"25/06/2021","17,800","17,800","17,900","17,800","5.60K","-0.56%"
"24/06/2021","17,900","18,200","18,200","17,800","5.00K","-2.19%"
"23/06/2021","18,300","17,800","18,300","17,800","7.20K","1.67%"
"22/06/2021","18,000","18,000","18,400","18,000","35.74K","0.00%"
"21/06/2021","18,000","18,200","18,500","18,000","11.84K","-1.10%"
"18/06/2021","18,200","18,400","18,400","18,000","38.00K","0.00%"
"17/06/2021","18,200","18,600","18,600","18,200","11.70K","-1.62%"
"16/06/2021","18,500","18,300","19,000","18,300","28.90K","1.65%"
"15/06/2021","18,200","18,000","18,500","18,000","41.10K","1.68%"
"14/06/2021","17,900","17,900","18,500","17,900","54.90K","1.13%"
"11/06/2021","17,700","17,700","18,200","17,700","91.00K","0.00%"
"10/06/2021","17,700","17,800","17,800","17,500","13.21K","-0.56%"
"09/06/2021","17,800","17,600","18,100","17,500","19.60K","0.00%"
"08/06/2021","17,800","19,000","19,000","17,800","10.50K","-1.11%"
"07/06/2021","18,000","17,900","19,500","17,900","67.61K","0.56%"
"04/06/2021","17,900","18,300","18,300","17,500","21.81K","-2.19%"
"03/06/2021","18,300","17,800","18,500","17,800","24.80K","2.81%"
"02/06/2021","17,800","17,500","17,800","17,500","9.90K","-0.56%"
"01/06/2021","17,900","17,700","18,000","17,700","5.50K","1.13%"
"31/05/2021","17,700","17,500","17,800","17,500","3.80K","1.72%"
"28/05/2021","17,400","17,600","17,700","17,400","4.30K","0.00%"
"27/05/2021","17,400","18,100","18,100","17,400","3.00K","-3.33%"
"26/05/2021","18,000","18,000","18,000","17,900","1.00K","1.12%"
"25/05/2021","17,800","17,900","17,900","17,400","40.70K","-0.56%"
"24/05/2021","17,900","18,000","18,100","17,800","20.50K","1.70%"
"21/05/2021","17,600","18,000","18,100","17,600","20.70K","-1.68%"
"20/05/2021","17,900","18,000","18,400","17,900","32.90K","0.56%"
"19/05/2021","17,800","17,500","18,000","17,500","28.70K","1.14%"
"18/05/2021","17,600","17,600","17,600","17,600","6.10K","1.15%"
"17/05/2021","17,400","17,500","18,400","17,400","8.30K","-0.57%"
"14/05/2021","17,500","17,600","17,900","17,500","20.40K","-1.69%"
"13/05/2021","17,800","18,100","18,300","17,800","24.92K","-1.66%"
"12/05/2021","18,100","17,700","18,100","17,600","17.61K","0.56%"
"11/05/2021","18,000","17,300","18,000","17,300","10.10K","4.05%"
"10/05/2021","17,300","17,300","17,600","17,000","62.81K","-2.26%"
"07/05/2021","17,700","18,000","18,000","17,300","30.70K","-1.67%"
"06/05/2021","18,000","18,000","18,300","18,000","28.70K","0.56%"
"05/05/2021","17,900","18,500","18,500","17,800","16.60K","-2.72%"
"04/05/2021","18,400","17,200","18,500","17,100","15.80K","6.98%"
"29/04/2021","17,200","17,500","17,700","17,200","27.72K","-1.71%"
"28/04/2021","17,500","17,800","17,800","17,000","40.00K","0.00%"
"27/04/2021","17,500","17,500","17,600","17,100","5.60K","-2.23%"
"26/04/2021","17,900","17,900","17,900","17,000","39.30K","0.00%"
"23/04/2021","17,900","17,000","17,900","16,900","29.10K","5.29%"
"22/04/2021","17,000","18,900","18,900","17,000","25.70K","-5.56%"
"20/04/2021","18,000","17,800","20,000","17,800","43.10K","0.00%"
"19/04/2021","18,000","19,500","19,500","17,000","73.61K","-5.26%"
"16/04/2021","19,000","20,700","20,700","18,700","58.50K","-8.21%"
"15/04/2021","20,700","20,900","21,500","19,600","36.80K","0.49%"
"14/04/2021","20,600","20,600","20,600","20,600","3.50K","-1.44%"
"13/04/2021","20,900","21,100","21,500","20,400","21.74K","-2.79%"
"12/04/2021","21,500","21,500","22,500","21,000","49.70K","2.38%"
"09/04/2021","21,000","20,500","21,700","19,800","36.00K","5.00%"
"08/04/2021","20,000","20,300","20,400","20,000","42.30K","-2.91%"
"07/04/2021","20,600","20,600","20,600","20,200","50.20K","-0.96%"
"06/04/2021","20,800","21,100","21,100","20,400","15.54K","-0.95%"
"05/04/2021","21,000","21,100","21,100","20,200","35.60K","-0.47%"
"02/04/2021","21,100","20,800","21,100","20,800","42.00K","0.96%"
"01/04/2021","20,900","21,200","21,400","20,800","20.30K","-4.57%"
"31/03/2021","21,900","22,100","22,100","21,000","37.10K","-0.45%"
"30/03/2021","22,000","21,100","22,300","20,800","150.30K","4.76%"
"29/03/2021","21,000","20,900","21,000","20,500","33.30K","0.96%"
"26/03/2021","20,800","20,900","21,200","20,000","36.60K","-0.48%"
"25/03/2021","20,900","21,000","22,000","20,900","56.60K","-1.88%"
"24/03/2021","21,300","22,000","22,000","20,600","46.50K","-5.33%"
"23/03/2021","22,500","22,700","23,500","21,800","82.30K","-2.17%"
"22/03/2021","23,000","20,200","23,000","20,200","158.60K","14.43%"
"19/03/2021","20,100","21,200","21,200","19,500","95.14K","-1.95%"
"18/03/2021","20,500","22,000","22,600","20,000","70.33K","-6.82%"
"17/03/2021","22,000","21,000","22,000","21,000","195.60K","12.82%"
"16/03/2021","19,500","17,000","19,500","17,000","197.10K","14.71%"
"15/03/2021","17,000","17,000","17,000","17,000","7.00K","0.59%"
"12/03/2021","16,900","16,800","17,000","16,800","19.40K","0.00%"
"11/03/2021","16,900","17,000","17,000","16,600","11.22K","-0.59%"
"10/03/2021","17,000","17,500","17,500","16,600","7.40K","0.59%"
"09/03/2021","16,900","17,000","17,000","16,900","7.51K","0.60%"
"08/03/2021","16,800","16,900","17,000","16,800","14.70K","1.20%"
"05/03/2021","16,600","16,900","16,900","16,600","5.60K","-1.19%"
"04/03/2021","16,800","16,700","16,800","16,500","21.40K","-0.59%"
"03/03/2021","16,900","17,000","17,000","16,800","7.20K","0.00%"
"02/03/2021","16,900","16,700","17,000","16,600","10.40K","1.20%"
"01/03/2021","16,700","17,000","17,000","16,700","6.10K","-1.18%"
"26/02/2021","16,900","16,500","17,200","16,500","5.20K","-1.17%"
"25/02/2021","17,100","17,100","17,100","17,100","1.10K","-0.58%"
"24/02/2021","17,200","17,000","17,200","17,000","2.50K","0.58%"
"23/02/2021","17,100","17,000","17,300","17,000","9.00K","0.59%"
"22/02/2021","17,000","17,000","17,000","16,700","7.20K","0.00%"
"19/02/2021","17,000","17,000","17,000","17,000","0.10K","-1.16%"
"18/02/2021","17,200","16,600","17,200","16,500","2.30K","1.18%"
"17/02/2021","17,000","16,500","17,000","16,500","57.50K","3.03%"
"09/02/2021","16,500","16,500","16,500","16,500","0.50K","-2.94%"
"08/02/2021","17,000","16,500","17,000","16,500","5.10K","1.80%"
"05/02/2021","16,700","16,300","16,900","16,300","2.10K","-1.76%"
"04/02/2021","17,000","17,000","17,000","16,500","2.40K","0.59%"
"03/02/2021","16,900","16,000","16,900","16,000","7.30K","10.46%"
"02/02/2021","15,300","15,700","15,700","15,300","2.00K","-1.92%"
"01/02/2021","15,600","16,900","16,900","15,600","5.10K","-5.45%"
"29/01/2021","16,500","15,100","16,500","15,100","1.40K","-1.79%"
"28/01/2021","16,800","17,000","17,000","15,000","14.80K","-1.75%"
"27/01/2021","17,100","17,200","17,200","16,500","9.00K","0.59%"
"26/01/2021","17,000","17,000","17,500","17,000","16.70K","0.00%"
"25/01/2021","17,000","17,000","17,000","17,000","15.60K","-0.58%"
"22/01/2021","17,100","17,200","17,200","17,100","1.70K","-0.58%"
"21/01/2021","17,200","16,700","17,200","16,700","7.30K","2.99%"
"20/01/2021","16,700","17,000","17,000","16,500","3.10K","1.21%"
"19/01/2021","16,500","17,000","17,000","16,500","6.00K","-7.30%"
"18/01/2021","17,800","17,000","17,800","17,000","1.50K","2.89%"
"15/01/2021","17,300","17,200","17,700","17,200","20.50K","-2.26%"
"14/01/2021","17,700","16,300","17,700","16,300","0.20K","2.31%"
"13/01/2021","17,300","17,000","17,300","17,000","1.10K","0.00%"
"12/01/2021","17,300","17,200","17,300","17,000","2.90K","2.98%"
"11/01/2021","16,800","17,000","17,000","16,800","4.70K","-5.62%"
"08/01/2021","17,800","17,100","17,800","16,700","6.21K","4.71%"
"07/01/2021","17,000","17,200","17,400","17,000","2.52K","-1.16%"
"06/01/2021","17,200","17,200","17,200","17,200","2.50K","0.00%"
"05/01/2021","17,200","17,000","17,200","17,000","11.26K","-1.71%"
"04/01/2021","17,500","17,500","17,500","17,200","11.40K","-0.57%"
"31/12/2020","17,600","17,500","17,600","17,500","10.56K","-0.56%"
"30/12/2020","17,700","17,700","17,700","17,500","12.21K","1.14%"
"29/12/2020","17,500","18,100","18,100","17,400","21.05K","-7.89%"
"28/12/2020","19,000","17,100","19,000","17,100","0.40K","5.56%"
"25/12/2020","18,000","18,500","18,500","18,000","21.40K","-1.10%"
"24/12/2020","18,200","17,500","19,000","17,300","475.30K","4.00%"
"23/12/2020","17,500","17,000","17,500","17,000","246.06K","1.16%"
"22/12/2020","17,300","17,100","17,500","17,000","10.70K","0.58%"
"21/12/2020","17,200","17,500","17,500","17,200","26.80K","-1.71%"
"18/12/2020","17,500","16,700","17,500","16,700","27.10K","2.94%"
"17/12/2020","17,000","17,000","17,000","16,300","7.25K","0.00%"
"16/12/2020","17,000","17,000","17,100","16,700","19.60K","0.59%"
"15/12/2020","16,900","17,100","17,200","16,900","42.37K","-1.17%"
"14/12/2020","17,100","17,200","17,500","17,000","94.62K","1.18%"
"11/12/2020","16,900","17,400","18,300","16,900","32.41K","-1.74%"
"10/12/2020","17,200","16,000","17,300","15,400","446.21K","11.69%"
"09/12/2020","15,400","14,600","15,500","14,600","325.10K","1.99%"
"08/12/2020","15,100","15,500","15,500","15,100","6.40K","-1.95%"
"07/12/2020","15,400","15,500","15,500","15,000","26.10K","1.99%"
"04/12/2020","15,100","14,000","15,500","14,000","33.20K","11.03%"
"03/12/2020","13,600","13,800","13,900","13,600","2.50K","-1.45%"
"02/12/2020","13,800","13,800","13,800","13,800","1.00K","2.99%"
"01/12/2020","13,400","13,600","13,600","13,400","1.85K","-1.47%"
"30/11/2020","13,600","13,700","13,700","13,500","14.70K","0.00%"
